Id,Name,Project,Score
1091,projekt-detail_231,FA1001,0.2353842658
671,projekt-detail_1564,TU0804,0.2353051901
1230,projekt-detail_374,IS0703,0.2349147911
432,projekt-detail_1330,FP1302,0.2348870076
1640,projekt-detail_828,TU0804,0.2345822582
1355,projekt-detail_510,TU0804,0.2345822582
778,projekt-detail_1665,ES0602,0.2341212932
247,projekt-detail_1149,FA1001,0.2340833201
61,projekt-detail_066,IS1204,0.2322382127
731,projekt-detail_1620,TU1002,0.2317587421
1423,projekt-detail_580,TU0804,0.2315436865
1276,projekt-detail_422,FA1006,0.2311076987
261,projekt-detail_1163,TU0804,0.2310940563
550,projekt-detail_1444,TU1204,0.2309663998
997,projekt-detail_1872,IS1004,0.2304638238
971,projekt-detail_1848,FP1104,0.2304329394
1562,projekt-detail_737,TD1005,0.2298317092
309,projekt-detail_120,TD1005,0.2297261424
71,projekt-detail_076,BM1209,0.227614272
1288,projekt-detail_435,TU1304,0.2272181787
625,projekt-detail_1514,IS1302,0.2267841562
195,projekt-detail_1097,IC1207,0.2265894542
1757,projekt-detail_951,FP1104,0.2265658888
953,projekt-detail_1831,IS1409,0.2265250095
405,projekt-detail_1303,TU0804,0.2260380457
1185,projekt-detail_328,IS1406,0.2250941144
735,projekt-detail_1624,IC0602,0.2248474107
23,projekt-detail_026,IS0603,0.2247004543
457,projekt-detail_1354,IS0906,0.2238902962
360,projekt-detail_1259,CM1005,0.2232762786
511,projekt-detail_1406,TU1004,0.2230546207
597,projekt-detail_1488,TU1406,0.2228777997
1420,projekt-detail_577,TU0804,0.2228558589
277,projekt-detail_1179,BM0703,0.2227664052
972,projekt-detail_1849,TU0701,0.2226610441
274,projekt-detail_1176,IS1007,0.2221516386
528,projekt-detail_1423,TU1401,0.2213427032
583,projekt-detail_1475,IC0901,0.2205478287
42,projekt-detail_047,ES1405,0.2203169331
197,projekt-detail_1099,TU1207,0.2202160991
965,projekt-detail_1842,TU0903,0.2199152434
1667,projekt-detail_856,IS0906,0.2197532656
1153,projekt-detail_293,IS0603,0.2194302124
107,projekt-detail_1013,TD1001,0.2189721356
