Patrick Studer,01.08.2009,EMI English-medium instruction in Higher Education (2009-2010),Corpora/zhaw/projekt-detail_1055.txt
Carmen Koch,01.08.2009,Evaluation des Informationskanals Channel One,Corpora/zhaw/projekt-detail_1056.txt
Colette Schneider,01.08.2009,Kommunikations-Kompass IAM: CVP/EVP-Fraktion Baselland,Corpora/zhaw/projekt-detail_1059.txt
Patrick Tschirky,07.05.2014,Im Fokus: Sprache der &quot;Tagesschau&quot;,Corpora/zhaw/projekt-detail_106.txt
Beate Sick,01.08.2009,Translation processes,Corpora/zhaw/projekt-detail_1062.txt
André Schibli,15.07.2009,Media Quality Training IAM: Jugendradio Music First,Corpora/zhaw/projekt-detail_1064.txt
Roland Gassmann,06.07.2009,Daten-Visualisierung mit Web 2.0-Technologie des Boden-Messnetzes der Ostschweizer Kantone,Corpora/zhaw/projekt-detail_1065.txt
Holger Auerbach,01.07.2009,Alterskonzept Rapperswil-Jona,Corpora/zhaw/projekt-detail_1066.txt
Beate Sick,01.07.2009,Automatisierte Erkennung von Fahrzeugklassen,Corpora/zhaw/projekt-detail_1067.txt
Markus Thaler,01.07.2009,Computer-Based Surgical Simulation of Knee Arthroscopy,Corpora/zhaw/projekt-detail_1068.txt
Reto Hagenbuch,01.07.2009,Finalistenpreis 2009 Heinrich und Erna Walder-Stiftung,Corpora/zhaw/projekt-detail_1069.txt
Manuel Babbi,01.05.2014,ALL-EMA,Corpora/zhaw/projekt-detail_107.txt
Nicole Rosenberger,01.07.2009,Framework der Kommunikationsleitung,Corpora/zhaw/projekt-detail_1070.txt
Theresia Weiss Sampietro,01.07.2009,Genderkompetenz in den Fachkulturen und in der Lehre,Corpora/zhaw/projekt-detail_1072.txt
Peter Meier,01.07.2009,Land Banking,Corpora/zhaw/projekt-detail_1074.txt
Tatiana Starostina,01.07.2009,Personenflusssimulation Strafjustizzentrum Basel-Landschaft,Corpora/zhaw/projekt-detail_1075.txt
Aleksandra Gnach,01.07.2009,Schreibwerkstatt IAM: insieme Schweiz,Corpora/zhaw/projekt-detail_1077.txt
Nicole Rosenberger,10.06.2009,Workshop Konzeptmethodik,Corpora/zhaw/projekt-detail_1079.txt
Dieter Eibl,01.05.2014,Etablierung eines scale-down Bioreaktors,Corpora/zhaw/projekt-detail_108.txt
