"","Name","Project","Score"
"1548","project-24016","CM1307",0.289714615326638
"1342","project-22868","MP1006",0.289713909909445
"2737","project-30612","ES1404",0.289680142038963
"2952","project-31411","IS1203",0.289677081267825
"5053","project-9033","FA1002",0.289271635235511
"1998","project-27113","TU1304",0.28925764946905
"1997","project-27112","TU1304",0.28925764946905
"3697","project-34172","ES1406",0.287907909240792
"2404","project-29141","TD1208",0.287712487921134
"360","project-13204","FP1205",0.287658464146873
"2363","project-28984","ES1406",0.287648732739631
"3237","project-32545","ES1406",0.287646771984698
"2089","project-27500","CM1104",0.287473229217507
"4438","project-6623","FA1001",0.287134482196863
"1666","project-25037","TU1004",0.286394761939368
"3157","project-32322","CM1305",0.286322852826015
"1616","project-24651","CM1003",0.286134161863015
"4871","project-7842","CM1402",0.28606366532414
"2155","project-28041","IS1101",0.285385206511677
"2950","project-31406","ES1406",0.284914127370861
"2693","project-30458","CM1302",0.284821681684097
"577","project-15849","MP1006",0.284697067944375
"3813","project-34511","FA1208",0.284597469561249
"227","project-11691","FA1202",0.284428909480857
"2912","project-31307","ES1301",0.284101108556617
"2867","project-31178","CM1302",0.283276374379036
"2425","project-29260","FA1306",0.282709298110805
"3647","project-34005","ES1404",0.282329690573043
"3004","project-31601","MP1102",0.281978173349065
"4954","project-7936","MP1201",0.281828907798645
"995","project-20391","ES1402",0.281643853181605
"2065","project-27426","FA1208",0.281617514257703
"3253","project-32597","ES1402",0.281209964208277
"3115","project-32096","IS1101",0.281066434467096
"4395","project-6545","FP1305",0.28097623833723
"1855","project-26404","CM1204",0.280605056237052
"1788","project-26107","FA1208",0.280524313146053
"1133","project-21631","ES1203",0.280481822113706
"3411","project-33123","FA1201",0.280478664586481
"4042","project-498","ES1404",0.280278288552263
"2709","project-30517","TU1401",0.279803402899959
"525","project-15344","CM1001",0.279511558274592
"1022","project-20619","MP1006",0.279101120710362
"4660","project-7217","MP1207",0.278841421102612
"2293","project-28646","ES1206",0.278657361314648
"106","project-10925","CM1004",0.27823767738876
"3888","project-34874","FA1302",0.27810328012265
"368","project-13298","CM1305",0.277920984154806
"643","project-16668","MP1301",0.276893362423635
"1101","project-21293","BM1104",0.276427015129831
"1570","project-24258","CM1305",0.276389900646997
"3642","project-33984","ES1406",0.27636881150207
"2087","project-27498","CM1201",0.276064266741928
"1318","project-22745","CM1104",0.275308561152727
"2148","project-27995","ES1202",0.275274015601517
"2940","project-31390","FA1308",0.275262209018114
"4379","project-6497","FP1305",0.275016169882652
"484","project-14480","FA1202",0.274874920710255
"2121","project-27712","MP1305",0.274470204478659
"4792","project-7640","TU1105",0.274009559693033
"2081","project-27492","CM1104",0.273877553043533
"1565","project-24202","IS1205",0.273765627636266
"495","project-14602","TD1006",0.273529170372369
"2483","project-29496","FP1304",0.273384901020688
"335","project-12930","ES1406",0.272722076094078
"1845","project-26327","ES1402",0.272714296740431
"1780","project-26020","TU1002",0.272577050830489
"4880","project-7851","CM1402",0.272422574028153
"4092","project-5839","MP1305",0.272009317821949
"2668","project-30386","TU1201",0.271796200864997
"3348","project-32906","FA1006",0.271738320306368
