"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Corpataux","Jean-François","Université de Fribourg","Visual arts and Art history","Knots & Folds. Contribution to the Study of « Parerga » in Renaissance Art",2014
"Longchamp","Jean-Nicolas","Universität Zürich","Condensed Matter Physics","Coherent Diffraction Imaging of Graphene-Supported Single Biomolecules at Atomic Resolution",2013
"Pfister","Jean-Pascal","Universität Bern","Biophysics","Normative theory of synaptic plasticity across multiple time scales",2011
"Brantut","Jean-Philippe","ETH Zürich","Other disciplines of Physics","Mesoscopic Physics with Utracold Atoms",2013
"Huang","Jen-How","ETH Zürich","Pedology","Influence of arsenate adsorption on iron and aluminium hydroxide surfaces on microbial arsenate reduction kinetics",2008
"Teubner","Jens","ETH Zürich","Information Sciences","Avalanche: Stream Processing on Bare Metal",2009
"Forney","Jérémie","Berner Fachhochschule","Ethnology","Filières alternatives dans la production laitière: reconfiguration des réseaux et autonomisation des producteurs",2012
"Mertens","Joachim Carl Philipp","Universität Zürich","Clinical Cancer Research","Sensitization of Activated Stromal Fibroblasts for Apoptosis – Mechanisms and Therapeutic Potential in Cancer and Fibrosis",2014
"das Neves Duarte","João Miguel","EPF Lausanne","Neurophysiology and Brain Research","Metabolic features of neurodegeneration and neuroprotection upon insulin resistance",2013
"Rüegg","Joëlle","Universität Basel","Molecular Biology","Role of estrogen receptors in mediating specific DNA methylation changes and it implication for endocrine disruption",2009
"Vuille","Joëlle","Université de Neuchâtel","Legal Sciences","Forensic science as a contributor to miscarriages of justice in Western",2014
"Chang","Johan Juul","EPF Lausanne","Condensed Matter Physics","Strongly correlated metals beyond the Fermi liquid concept",2012
"Letzkus","Johannes Jakob","FMI Basel","Neurophysiology and Brain Research","Encoding of Associative Fear Memory in Identified Neuronal Circuits of Auditory Cortex",2010
"Kühn","Jonas","ETH Zürich","Astronomy, Astrophysics and Spatial Sciences","Science-Plane Holographic Coherent Wavefront Sensor & Digital Adaptive Coronagraphy for Extremely-high-contrast Direct Imaging of Exoplanets",2014
"Groh","Jose","Université de Genève","Astronomy, Astrophysics and Spatial Sciences","Unified models of massive stars through cosmic time",2011
"Payne","Joshua","Universität Zürich","Genetics","The evolution and robustness of transcription factor binding sites",2014
"Domínguez Borràs","Judith","Université de Genève","Neurophysiology and Brain Research","Neural pathways of emotional attention investigated with intracranial and single-neuron recordings in humans",2013
"Bohlius","Julia","Universität Bern","Cancer","AIDS-defining and non AIDS-defining cancers in patients starting ART in Southern Africa: cohort and linkage studies",2011
"Fink","Julian","Universität Bern","Philosophy","Epistemic Reasons and Rational Coherence: A New Answer to ‘Why be rational?’",2013
"Stauder-Porchet","Julie","Universität Basel","Ancient history and Classical studies","Les autobiographies en Égypte ancienne de 2500 à 1500 av. J.-C. : histoire d’un genre",2011
"Mayor","Julien","Université de Genève","Psychology","A neuro-computational investigation of lexical development in Williams Syndrome children",2010
"Fedor","Juraj","Université de Fribourg","Physical Chemistry","Electron-driven chemistry at liquid interfaces",2010
"Minehira Castelli","Kaori","Université de Lausanne","Pathophysiology","Molecular and nutritional approach for a study of non-alcoholic fatty liver diseases in mice and human",2008
"Leonard","Katherine Colby","EPF Lausanne","Hydrology, Limnology, Glaciology","Antarctic precipitation, snow accumulation processes, and ice-ocean interactions",2012
"Tan","Kelly","EPF Lausanne","Neurophysiology and Brain Research","Dopamine modulation of inhibitory microcircuits in the barrel cortex",2012
"Woods","Kerry","Universität Bern","Cellular Biology, Cytology","Manipulation of the host by Theileria: Using BioID to discover parasite- dependent protein interaction networks",2014
"Taylor","Kirsten I.","Universität Basel","Psychology","Transentorhinal Cortex Function and Structure in Preclinical Alzheimer’s Disease",2009
"Voitchovsky","Kislon","EPF Lausanne","Other disciplines of Physics","Solid-Liquid Interfaces at the Nanoscale",2011
"Saunders","Krystyna","Universität Bern","Hydrology, Limnology, Glaciology","High resolution reconstructions of climate variability in the sub-Antarctic during the last two millennia",2011
"Wohlfeld","Krzysztof","ETH Zürich / PSI Villigen","Condensed Matter Physics","Unravelling Exotic Properties of Collective Excitations in Correlated Systems",2014
